Genus_Species,En_name,3Alpha_Code
Perca fluviatilis,European perch,FPE
Barbatula barbatula,Stone loach,BTB
Lota lota,Burbot,FBU
Gasterosteus aculeatus,Three-spined stickleback,GTA
Pungitius pungitius,Ninespine stickleback,GPT
Esox lucius,Northern pike,FPI
Tinca tinca,Tench,FTE
Scardinius erythrophthalmus,Rudd,SRE
Rutilus rutilus,Roach,FRO
Rhodeus amarus,Bitterling,ROR
Leucaspius delineatus,Belica,LUD
Carassius carassius,Crucian carp,FCC
Barbus meridionalis,Mediterranean barbel,BUD
Leuciscus leuciscus,Common dace,FIE
